,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,precint_num,name,lat_2,long_2,CMPLNT_FR_DT_1,CMPLNT_Open_year,CMPLNT_Open_month,lat_long_2,lat_long_crime_map,lat_long_crime_map_clean,address_crime_map,zip_code_crime_map
9025,9025,252631437,7/2/2018,21:30:00,7/2/2018,21:45:00,120,7/2/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,,,,962759,171706,,,,,40.63795203,-74.07743566,"(40.637952028, -74.07743566)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,7/2/2018,2018,7,"(40.63795202800003, -74.07743565999994)","(40.63795202800003, -74.07743565999994)","40.63795202800003, -74.07743565999994","49 Victory Blvd, Staten Island, NY 10301, USA",10301
9026,9026,457812293,12/11/2018,12:50:00,12/11/2018,12:54:00,120,12/11/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,INSIDE,ABANDONED BUILDING,N.Y. POLICE DEPT,0,,,,962759,171706,25-44,WHITE HISPANIC,M,,40.63795203,-74.07743566,"(40.637952028, -74.07743566)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,12/11/2018,2018,12,"(40.63795202800003, -74.07743565999994)","(40.63795202800003, -74.07743565999994)","40.63795202800003, -74.07743565999994","49 Victory Blvd, Staten Island, NY 10301, USA",10301
9027,9027,302017640,5/15/2018,15:20:00,5/15/2018,15:25:00,120,5/15/2018,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,959736,174237,18-24,BLACK,M,,40.64489123,-74.08833702,"(40.644891227, -74.088337019)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,5/15/2018,2018,5,"(40.644891227000066, -74.08833701899994)","(40.644891227000066, -74.08833701899994)","40.644891227000066, -74.08833701899994","65 York Ave, Staten Island, NY 10301, USA",10301
9028,9028,304466054,8/25/2018,21:00:00,8/26/2018,10:00:00,120,8/26/2018,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,962320,172174,,,,,40.63923551,-74.07901894,"(40.639235511, -74.079018941)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,M,120,120th Precinct,40.64464375,-74.07741757,8/25/2018,2018,8,"(40.63923551100004, -74.07901894099997)","(40.63923551100004, -74.07901894099997)","40.63923551100004, -74.07901894099997","103 Monroe Ave, Staten Island, NY 10301, USA",10301
9029,9029,714085809,12/23/2018,4:05:00,12/23/2018,4:09:00,120,12/23/2018,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,962320,172174,UNKNOWN,BLACK,U,,40.63923551,-74.07901894,"(40.639235511, -74.079018941)",PATROL BORO STATEN ISLAND,,25-44,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,12/23/2018,2018,12,"(40.63923551100004, -74.07901894099997)","(40.63923551100004, -74.07901894099997)","40.63923551100004, -74.07901894099997","103 Monroe Ave, Staten Island, NY 10301, USA",10301
9030,9030,880968445,11/14/2018,21:10:00,11/14/2018,21:32:00,120,11/14/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,949599,170784,25-44,BLACK,M,,40.63537963,-74.12484767,"(40.635379628, -74.124847666)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,11/14/2018,2018,11,"(40.63537962800007, -74.12484766599994)","(40.63537962800007, -74.12484766599994)","40.63537962800007, -74.12484766599994","42 Degroot Pl, Staten Island, NY 10310, USA",10310
9031,9031,838843324,8/23/2018,13:55:00,8/23/2018,14:05:00,120,8/23/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,959479,172351,,,,,40.63971385,-74.08925619,"(40.639713848, -74.089256187)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,8/23/2018,2018,8,"(40.63971384800004, -74.089256187)","(40.63971384800004, -74.089256187)","40.63971384800004, -74.089256187","161 Harvard Ave, Staten Island, NY 10301, USA",10301
9032,9032,159444636,5/25/2018,20:00:00,,,120,5/25/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,STAPLETON PLAYGROUND,,,962259,166579,25-44,WHITE,M,,40.62387827,-74.07922049999998,"(40.623878272, -74.079220501)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,5/25/2018,2018,5,"(40.62387827200007, -74.07922050099995)","(40.62387827200007, -74.07922050099995)","40.62387827200007, -74.07922050099995","23 Tompkins Ave, Staten Island, NY 10304, USA",10304
9033,9033,228702093,1/4/2018,22:20:00,,,120,1/5/2018,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,staten island,,STREET,N.Y. POLICE DEPT,0,,,,962259,166579,UNKNOWN,UNKNOWN,M,,40.62387827,-74.07922049999998,"(40.623878272, -74.079220501)",PATROL BORO STATEN ISLAND,,25-44,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,1/4/2018,2018,1,"(40.62387827200007, -74.07922050099995)","(40.62387827200007, -74.07922050099995)","40.62387827200007, -74.07922050099995","23 Tompkins Ave, Staten Island, NY 10304, USA",10304
9034,9034,354817468,10/10/2018,20:05:00,10/10/2018,20:11:00,120,10/10/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,STAPLETON PLAYGROUND,,,962259,166579,45-64,BLACK,M,,40.62387827,-74.07922049999998,"(40.623878272, -74.079220501)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,10/10/2018,2018,10,"(40.62387827200007, -74.07922050099995)","(40.62387827200007, -74.07922050099995)","40.62387827200007, -74.07922050099995","23 Tompkins Ave, Staten Island, NY 10304, USA",10304
9035,9035,896611167,6/27/2018,13:10:00,6/27/2018,13:17:00,120,6/27/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,,STREET,N.Y. POLICE DEPT,0,,,,962259,166579,65+,WHITE,M,,40.62387827,-74.07922049999998,"(40.623878272, -74.079220501)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,6/27/2018,2018,6,"(40.62387827200007, -74.07922050099995)","(40.62387827200007, -74.07922050099995)","40.62387827200007, -74.07922050099995","23 Tompkins Ave, Staten Island, NY 10304, USA",10304
9036,9036,761049869,1/15/2018,23:00:00,1/15/2018,23:04:00,120,1/16/2018,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,staten island,,STREET,N.Y. POLICE DEPT,0,,,,961485,171412,45-64,WHITE HISPANIC,F,,40.63714188,-74.08202501,"(40.637141878, -74.082025014)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,120,120th Precinct,40.64464375,-74.07741757,1/15/2018,2018,1,"(40.63714187800008, -74.08202501399995)","(40.63714187800008, -74.08202501399995)","40.63714187800008, -74.08202501399995","31 Brook St, Staten Island, NY 10301, USA",10301
9037,9037,833081597,12/7/2018,5:30:00,12/7/2018,6:15:00,120,12/7/2018,105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",COMPLETED,FELONY,staten island,REAR OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,0,,,,961126,166416,UNKNOWN,UNKNOWN,U,,40.62342799,-74.08330139,"(40.623427986, -74.083301392)",PATROL BORO STATEN ISLAND,,25-44,WHITE HISPANIC,M,120,120th Precinct,40.64464375,-74.07741757,12/7/2018,2018,12,"(40.62342798600001, -74.08330139199995)","(40.62342798600001, -74.08330139199995)","40.62342798600001, -74.08330139199995","Broad St/Gordon St, Staten Island, NY 10304, USA",10304
